desire,category
運動を続けて体力や筋力を向上したい,健康系
現在の健康の悩みを取り去りたい（体の痛み・心の悩み・不調改善など）,健康系
健康寿命を延ばして、将来の健康不安を取り除きたい,健康系
今必要だから、お金を稼ぎたい,お金系
将来のお金の不安をなくしたい,お金系
今より幸せなキャリアを手に入れたい（社内異動、転職、起業）,仕事系
今の仕事をしながら、自分の能力や市場価値を上げたい（仕事でモテたい、仕事を増やしたい、仕事の単価を上げたい）,仕事系
チームマネジメントをうまく促進したい,仕事系
今の業務や役職を手放したり、仕事を減らしたりして、ラクになり、好きな時間を増やしたい,仕事系
副収入が欲しい（複業、インターネットやAIなどを活用して稼ぐ、講師業をするなど）,仕事系
自分の専門分野を得て、プロになって、世の中で活躍したい,仕事系
商品やサービスの作り方、事業の起こし方を習得したい,仕事系
自分のやっている活動のレベルを上げ、熟達したい,能力系
読書や勉強、情報収集をして、知的欲求を満たしたい,能力系
コミュニケーション力が欲しい（会話・プレゼン・対話など）,能力系
続けたいことがあり、習慣化したい,能力系
根性ややる気、爆発力や貪欲さが欲しい,能力系
思考が柔軟で賢くなり、ものごとの本質が見える状態になりたい,能力系
自信が欲しい,能力系
個性が欲しい,能力系
行動力・冒険心が欲しい,能力系
人をまとめ引っ張るリーダーシップが欲しい,能力系
人を成長させる導き力、ファシリテーション力が欲しい,能力系
苦手な人、嫌な人からのストレスを減らしたい,メンタル系
メンタルを強く柔軟にし、大きな心の器を持って、おおらかでいたい,メンタル系
嫉妬心をなくしたい,メンタル系
ストレスやイライラを減らしたい,メンタル系
過去のつらい記憶を忘れたい,メンタル系
先への不安をなくし、幸せで安心な気持ちで満たされたい,メンタル系
家庭内コミュニケーションを改善したい（夫婦、親、子育てなど）,性格系
人生にとって大切な友達が欲しい,性格系
SNS活用を、疲れずに幸せなつながりを得られるようにしたい,性格系
他者から好印象を持たれたい,性格系
優しくなりたい,性格系
甘え上手・頼り上手になりたい,性格系
欲を減らしたい,性格系
丁寧な性格になりたい,性格系
身の回りを整理整頓し、片付けて身軽になりたい,自己実現系
恋人が欲しい、あるいは結婚したい,自己実現系
理想の土地や住まいで暮らしたい,自己実現系
趣味の活動に力を入れ、上達したい,自己実現系
推し活に浸りたい,自己実現系
グルメを楽しみたい,自己実現系
旅に出かけて、好きな環境に触れたい（自然、建造物など）,自己実現系
一人時間を満喫したい,自己実現系
時間の余裕が欲しい,自己実現系
やりたいことを見つけて打ち込みたい（暇にならない）,自己実現系
企画を立ち上げたり、発明をしたりしたい,自己実現系
本を書くなど、自分のコンテンツを世に出したい,自己実現系
他者・社会に必要とされ、誰かの役に立ちたい,自己実現系
欲しいもの・消費体験を手に入れて、人生の喜びを得たい,自己実現系
人に承認され、褒められ、感謝されたい,承認欲求系
フォロワー数やそれに準ずる「数字」が欲しい,承認欲求系